NR_SECAO;NM_LOCAL_VOTACAO
263;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
148;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
221;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
219;PRÉDIO MUNICIPAL CLERALDO ANDRADE
207;ESCOLA MUNICIPAL MÁRIO GORDILHO PEDREIRA
183;ESCOLA ODILARDO U. RODRIGUES
252;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
257;PRÉDIO MUNICIPAL CAMARÃO
268;COLÉGIO CATARINA PARAGUAÇU
228;ESCOLA MUNICIPAL MENELEU BATISTA SOARES
244;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
238;PREDIO MUNICIPAL SÃO ROQUE
184;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
141;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
179;ESCOLA ODILARDO U. RODRIGUES
163;COLÉGIO POLIVALENTE DE MARAGOGIPE
168;COLÉGIO POLIVALENTE DE MARAGOGIPE
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
185;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
134;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
151;COLÉGIO PLINIO PEREIRA
159;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
233;ESCOLA MUNICIPAL SILVIO V. MELO
190;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
214;ESCOLA ESTADUAL KLEBER PACHECO
192;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
155;COLÉGIO PLINIO PEREIRA
160;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
261;ESCOLA MUNICIPAL RUBEN GUERRA ARMEDE
229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS
184;PRÉDIO MUNICIPAL ANTÔNIO OTÍLIO DE ANDRADE
254;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
162;COLÉGIO POLIVALENTE DE MARAGOGIPE
213;ESCOLA ESTADUAL KLEBER PACHECO
137;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
182;ESCOLA ODILARDO U. RODRIGUES
261;ESCOLA MUNICIPAL RUBEN GUERRA ARMEDE
262;ESCOLA MUNICIPAL O BOM PASTOR
129;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
169;COLÉGIO POLIVALENTE DE MARAGOGIPE
258;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
148;COLÉGIO ESTADUAL GERHARD MEYER SUERDIECK
174;COLÉGIO CATARINA PARAGUAÇU
151;COLÉGIO PLINIO PEREIRA
139;PRÉDIO ESCOLAR ANTÔNIO REBOUÇAS
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
238;PREDIO MUNICIPAL SÃO ROQUE
168;COLÉGIO POLIVALENTE DE MARAGOGIPE
162;COLÉGIO POLIVALENTE DE MARAGOGIPE
155;COLÉGIO PLINIO PEREIRA
170;COLÉGIO POLIVALENTE DE MARAGOGIPE
200;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
167;COLÉGIO POLIVALENTE DE MARAGOGIPE
233;ESCOLA MUNICIPAL SILVIO V. MELO
175;COLÉGIO CATARINA PARAGUAÇU
221;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
214;ESCOLA ESTADUAL KLEBER PACHECO
258;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
212;ESCOLA ESTADUAL KLEBER PACHECO
